atten_sr,energy
0.720169549148209,256527625478.21207
0.7179838747906742,257996457045.99918
0.7157959731707256,259473698882.15707
0.7136062040812613,260959399142.3849
0.711415141733448,262453606258.11682
0.7092231717739129,263956368938.0927
0.7070289208309019,265467736169.95422
0.7048327972520845,266987757221.8332
0.702635997366095,268516481643.9664
0.7004379737415243,270053959270.30215
0.698238613985626,271600240220.13336
0.6960389410062046,273155374899.72278
0.6938382188502961,274719414003.95486
0.6916368238113755,276292408517.9806
0.6894340448177059,277874409718.8829
0.6872301948020603,279465469177.35144
0.6850269163996348,281065638759.35614
0.6828240136300101,282674970627.8466
0.6806205645191898,284293517244.44385
0.6784176096877598,285921331371.1591
0.6762166411408065,287558466072.1052
0.6740160429426181,289204974715.23505
0.6718151931876235,290860910974.0723
0.6696155359526866,292526328829.47064
