atten_LIV_lambda_1,atten_LIV_lambda_2,atten_LIV_lambda_3,atten_LIV_lambda_4,atten_LIV_lambda_5,atten_LIV_lambda_6,atten_LIV_lambda_7,energy
0.00045321005753311267,1.634592918634586e-07,2.7943728106452667e-09,3.0965582078358335e-11,6.293800643695765e-12,1.0088221196764265e-12,6.148086902338323e-13,24417032069759.008
0.0005288383960206402,1.7545374345029108e-07,2.715903764077755e-09,2.6034690182381634e-11,4.988811094701525e-12,7.434543154402328e-13,4.438895683166978e-13,24613505746757.53
0.0006181799444541086,1.8958366170994027e-07,2.656531194217302e-09,2.1955866857430022e-11,3.959037770565599e-12,5.471778950947222e-13,3.1984936396373525e-13,24811560365520.004
0.0007237096303165932,2.0621510175151547e-07,2.615284997902085e-09,1.857993743873597e-11,3.146375464728112e-12,4.0232045536290974e-13,2.300787291443291e-13,25011208647225.875
0.0008483518941310959,2.2580903997038465e-07,2.5916328723028554e-09,1.5782395499431212e-11,2.5048655396468522e-12,2.9553393833785374e-13,1.6521398139615206e-13,25212463415416.305
0.0009955263407326208,2.489190023706325e-07,2.585774750225366e-09,1.3456505176122669e-11,1.9979941128331825e-12,2.1687397347083783e-13,1.184676356190824e-13,25415337596818.152
0.0011692778266905173,2.7620752484924304e-07,2.597639753716925e-09,1.1520546394719959e-11,1.596672147391272e-12,1.5912822136996113e-13,8.482651363953578e-14,25619844222174.562
0.001374306349429888,3.085095620108135e-07,2.6280125689582557e-09,9.901798911683657e-12,1.2784568368826137e-12,1.167848445954771e-13,6.081697799336022e-14,25825996427081.324
0.0016160397227924024,3.4682820017847717e-07,2.6778067511271573e-09,8.546026009637826e-12,1.0274043783650107e-12,8.580331622426173e-14,4.3493751698339905e-14,26033807452831.0
0.0019007434619487489,3.9245712135653315e-07,2.7478542870803056e-09,7.408737605668152e-12,8.27387113494314e-13,6.292728333989084e-14,3.093884864674027e-14,26243290647263.31
0.00223560741415699,4.469071322066666e-07,2.840741928605117e-09,6.4676856433116944e-12,6.683867956692067e-13,4.597706284416715e-14,2.1954524418420786e-14,26454459465622.36
0.0026288479894403982,5.121907516524788e-07,2.958133996627573e-09,5.658180004815804e-12,5.42505411686619e-13,3.355997059137213e-14,1.5554539400165065e-14,26667327471421.332
0.0030899958173898805,5.906449080987305e-07,3.1039169041968076e-09,4.981060010505793e-12,4.4163578355074735e-13,2.448142868270532e-14,1.0998502915058692e-14,26881908337313.01
0.0036298806173007203,6.853034584383186e-07,3.2819033391086864e-09,4.416726038103744e-12,3.5922391885053794e-13,1.784461438726095e-14,7.758204815928343e-15,27098215845968.324
0.004260821980691964,7.998558659694856e-07,3.4973114004844994e-09,3.942607257642908e-12,2.9320164731771843e-13,1.2989023378594673e-14,5.461482124821729e-15,27316263890961.926
0.004995989845387926,9.391740839480641e-07,3.759563236888221e-09,3.5328353594496187e-12,2.4004148748119735e-13,9.45108797458213e-15,3.839893962369498e-15,27536066477663.945
0.005851028192338423,1.1090797493583104e-06,4.0688079425079455e-09,3.17783832581512e-12,1.9713771287102145e-13,6.8780858207128925e-15,2.6954785018317986e-15,27757637724140.004
